"原始序號","項目","組別","名次","獲獎者","座位區域","座位編號","全名","座位全名"
119,"泰雅族語演說汶水泰雅語","社會組",1,,"B",47,"泰雅族語演說汶水泰雅語（社會組）第1名","B區（6排7號）"
120,"泰雅族語演說萬大泰雅語","教師組",1,,"B",48,"泰雅族語演說萬大泰雅語（教師組）第1名","B區（6排8號）"
121,"泰雅族語演說萬大泰雅語","社會組",1,,"B",49,"泰雅族語演說萬大泰雅語（社會組）第1名","B區（7排1號）"
122,"排灣族語演說","社會組",1,,"B",50,"排灣族語演說（社會組）第1名","B區（7排2號）"
123,"排灣族語演說","社會組",2,,"B",51,"排灣族語演說（社會組）第2名","B區（7排3號）"
124,"排灣族語演說","社會組",3,,"B",52,"排灣族語演說（社會組）第3名","B區（7排4號）"
125,"布農族語演說","教師組",1,,"B",53,"布農族語演說（教師組）第1名","B區（7排5號）"
126,"布農族語演說","教師組",2,,"B",54,"布農族語演說（教師組）第2名","B區（7排6號）"
127,"布農族語演說","社會組",1,,"B",55,"布農族語演說（社會組）第1名","B區（7排7號）"
128,"布農族語演說","社會組",2,,"B",56,"布農族語演說（社會組）第2名","B區（7排8號）"
129,"布農族語演說","社會組",3,,"B",57,"布農族語演說（社會組）第3名","B區（8排1號）"
130,"布農族語演說","社會組",4,,"B",58,"布農族語演說（社會組）第4名","B區（8排2號）"
131,"卑南族語演說","社會組",1,,"B",59,"卑南族語演說（社會組）第1名","B區（8排3號）"
132,"魯凱族語演說","社會組",1,,"B",60,"魯凱族語演說（社會組）第1名","B區（8排4號）"
133,"魯凱族語演說萬山魯凱語","社會組",1,,"B",61,"魯凱族語演說萬山魯凱語（社會組）第1名","B區（8排5號）"
134,"鄒族語演說","教師組",1,,"B",62,"鄒族語演說（教師組）第1名","B區（8排6號）"
135,"鄒族語演說","社會組",1,,"B",63,"鄒族語演說（社會組）第1名","B區（8排7號）"
136,"賽夏族語演說","教師組",1,,"B",64,"賽夏族語演說（教師組）第1名","B區（8排8號）"
137,"賽夏族語演說","社會組",1,,"B",65,"賽夏族語演說（社會組）第1名","B區（9排1號）"
138,"雅美族語演說","社會組",1,,"B",66,"雅美族語演說（社會組）第1名","B區（9排2號）"
139,"邵族語演說","教師組",1,,"B",67,"邵族語演說（教師組）第1名","B區（9排3號）"
140,"邵族語演說","社會組",1,,"B",68,"邵族語演說（社會組）第1名","B區（9排4號）"
141,"噶瑪蘭族語演說","社會組",1,,"B",69,"噶瑪蘭族語演說（社會組）第1名","B區（9排5號）"
142,"太魯閣族語演說","教師組",1,,"B",70,"太魯閣族語演說（教師組）第1名","B區（9排6號）"
143,"太魯閣族語演說","教師組",2,,"B",71,"太魯閣族語演說（教師組）第2名","B區（9排7號）"
144,"太魯閣族語演說","社會組",1,,"B",72,"太魯閣族語演說（社會組）第1名","B區（9排8號）"
145,"太魯閣族語演說","社會組",2,,"B",73,"太魯閣族語演說（社會組）第2名","B區（10排1號）"
146,"太魯閣族語演說","社會組",3,,"B",74,"太魯閣族語演說（社會組）第3名","B區（10排2號）"
147,"賽德克族語演說","教師組",1,,"B",75,"賽德克族語演說（教師組）第1名","B區（10排3號）"
148,"賽德克族語演說","社會組",1,,"B",76,"賽德克族語演說（社會組）第1名","B區（10排4號）"
149,"賽德克族語演說","社會組",2,,"B",77,"賽德克族語演說（社會組）第2名","B區（10排5號）"
150,"賽德克族語演說","社會組",3,,"B",78,"賽德克族語演說（社會組）第3名","B區（10排6號）"
151,"拉阿魯哇族語演說","社會組",1,,"B",79,"拉阿魯哇族語演說（社會組）第1名","B區（10排7號）"
152,"國語朗讀","國小學生組",1,,"C",1,"國語朗讀（國小學生組）第1名","C區（1排1號）"
153,"國語朗讀","國小學生組",2,,"C",2,"國語朗讀（國小學生組）第2名","C區（1排2號）"
154,"國語朗讀","國小學生組",3,,"C",3,"國語朗讀（國小學生組）第3名","C區（1排3號）"
155,"國語朗讀","國小學生組",4,,"C",4,"國語朗讀（國小學生組）第4名","C區（1排4號）"
156,"國語朗讀","國小學生組",5,,"C",5,"國語朗讀（國小學生組）第5名","C區（1排5號）"
157,"國語朗讀","國小學生組",6,,"C",6,"國語朗讀（國小學生組）第6名","C區（1排6號）"
158,"國語朗讀","國中學生組",1,,"C",7,"國語朗讀（國中學生組）第1名","C區（1排7號）"
159,"國語朗讀","國中學生組",2,,"C",8,"國語朗讀（國中學生組）第2名","C區（1排8號）"
160,"國語朗讀","國中學生組",3,,"C",9,"國語朗讀（國中學生組）第3名","C區（2排1號）"
161,"國語朗讀","國中學生組",4,,"C",10,"國語朗讀（國中學生組）第4名","C區（2排2號）"
162,"國語朗讀","國中學生組",5,,"C",11,"國語朗讀（國中學生組）第5名","C區（2排3號）"
163,"國語朗讀","國中學生組",6,,"C",12,"國語朗讀（國中學生組）第6名","C區（2排4號）"
164,"國語朗讀","高中學生組",1,,"C",13,"國語朗讀（高中學生組）第1名","C區（2排5號）"
165,"國語朗讀","高中學生組",2,,"C",14,"國語朗讀（高中學生組）第2名","C區（2排6號）"
166,"國語朗讀","高中學生組",3,,"C",15,"國語朗讀（高中學生組）第3名","C區（2排7號）"
167,"國語朗讀","高中學生組",4,,"C",16,"國語朗讀（高中學生組）第4名","C區（2排8號）"
168,"國語朗讀","高中學生組",5,,"C",17,"國語朗讀（高中學生組）第5名","C區（3排1號）"
169,"國語朗讀","高中學生組",6,,"C",18,"國語朗讀（高中學生組）第6名","C區（3排2號）"
170,"國語朗讀","教師組",1,,"C",19,"國語朗讀（教師組）第1名","C區（3排3號）"
171,"國語朗讀","教師組",2,,"C",20,"國語朗讀（教師組）第2名","C區（3排4號）"
172,"國語朗讀","教師組",3,,"C",21,"國語朗讀（教師組）第3名","C區（3排5號）"
173,"國語朗讀","教師組",4,,"C",22,"國語朗讀（教師組）第4名","C區（3排6號）"
174,"國語朗讀","教師組",5,,"C",23,"國語朗讀（教師組）第5名","C區（3排7號）"
175,"國語朗讀","教師組",6,,"C",24,"國語朗讀（教師組）第6名","C區（3排8號）"
176,"國語朗讀","社會組",1,,"C",25,"國語朗讀（社會組）第1名","C區（4排1號）"
177,"國語朗讀","社會組",2,,"C",26,"國語朗讀（社會組）第2名","C區（4排2號）"
178,"國語朗讀","社會組",3,,"C",27,"國語朗讀（社會組）第3名","C區（4排3號）"
179,"國語朗讀","社會組",4,,"C",28,"國語朗讀（社會組）第4名","C區（4排4號）"
180,"國語朗讀","社會組",5,,"C",29,"國語朗讀（社會組）第5名","C區（4排5號）"
181,"國語朗讀","社會組",6,,"C",30,"國語朗讀（社會組）第6名","C區（4排6號）"
182,"國語朗讀","教大組",1,,"C",31,"國語朗讀（教大組）第1名","C區（4排7號）"
183,"國語朗讀","教大組",2,,"C",32,"國語朗讀（教大組）第2名","C區（4排8號）"
184,"國語朗讀","教大組",3,,"C",33,"國語朗讀（教大組）第3名","C區（5排1號）"
185,"國語朗讀","教大組",4,,"C",34,"國語朗讀（教大組）第4名","C區（5排2號）"
186,"國語朗讀","教大組",5,,"C",35,"國語朗讀（教大組）第5名","C區（5排3號）"
187,"國語朗讀","教大組",6,,"C",36,"國語朗讀（教大組）第6名","C區（5排4號）"
188,"閩南語朗讀","國小學生組",1,,"C",37,"閩南語朗讀（國小學生組）第1名","C區（6排1號）"
189,"閩南語朗讀","國小學生組",2,,"C",38,"閩南語朗讀（國小學生組）第2名","C區（6排2號）"
190,"閩南語朗讀","國小學生組",3,,"C",39,"閩南語朗讀（國小學生組）第3名","C區（6排3號）"
191,"閩南語朗讀","國小學生組",4,,"C",40,"閩南語朗讀（國小學生組）第4名","C區（6排4號）"
192,"閩南語朗讀","國小學生組",5,,"C",41,"閩南語朗讀（國小學生組）第5名","C區（6排5號）"
193,"閩南語朗讀","國小學生組",6,,"C",42,"閩南語朗讀（國小學生組）第6名","C區（6排6號）"
194,"閩南語朗讀","國中學生組",1,,"C",43,"閩南語朗讀（國中學生組）第1名","C區（6排7號）"
195,"閩南語朗讀","國中學生組",2,,"C",44,"閩南語朗讀（國中學生組）第2名","C區（6排8號）"
196,"閩南語朗讀","國中學生組",3,,"C",45,"閩南語朗讀（國中學生組）第3名","C區（7排1號）"
197,"閩南語朗讀","國中學生組",4,,"C",46,"閩南語朗讀（國中學生組）第4名","C區（7排2號）"
198,"閩南語朗讀","國中學生組",5,,"C",47,"閩南語朗讀（國中學生組）第5名","C區（7排3號）"
199,"閩南語朗讀","國中學生組",6,,"C",48,"閩南語朗讀（國中學生組）第6名","C區（7排4號）"
200,"閩南語朗讀","高中學生組",1,,"C",49,"閩南語朗讀（高中學生組）第1名","C區（7排5號）"
201,"閩南語朗讀","高中學生組",2,,"C",50,"閩南語朗讀（高中學生組）第2名","C區（7排6號）"
202,"閩南語朗讀","高中學生組",3,,"C",51,"閩南語朗讀（高中學生組）第3名","C區（7排7號）"
203,"閩南語朗讀","高中學生組",4,,"C",52,"閩南語朗讀（高中學生組）第4名","C區（7排8號）"
204,"閩南語朗讀","高中學生組",5,,"C",53,"閩南語朗讀（高中學生組）第5名","C區（8排1號）"
205,"閩南語朗讀","高中學生組",6,,"C",54,"閩南語朗讀（高中學生組）第6名","C區（8排2號）"
206,"閩南語朗讀","教師組",1,,"C",55,"閩南語朗讀（教師組）第1名","C區（8排3號）"
207,"閩南語朗讀","教師組",2,,"C",56,"閩南語朗讀（教師組）第2名","C區（8排4號）"
208,"閩南語朗讀","教師組",3,,"C",57,"閩南語朗讀（教師組）第3名","C區（8排5號）"
209,"閩南語朗讀","教師組",4,,"C",58,"閩南語朗讀（教師組）第4名","C區（8排6號）"
210,"閩南語朗讀","教師組",5,,"C",59,"閩南語朗讀（教師組）第5名","C區（8排7號）"
211,"閩南語朗讀","教師組",6,,"C",60,"閩南語朗讀（教師組）第6名","C區（8排8號）"
212,"閩南語朗讀","社會組",1,,"C",61,"閩南語朗讀（社會組）第1名","C區（9排1號）"
213,"閩南語朗讀","社會組",2,,"C",62,"閩南語朗讀（社會組）第2名","C區（9排2號）"
214,"閩南語朗讀","社會組",3,,"C",63,"閩南語朗讀（社會組）第3名","C區（9排3號）"
215,"閩南語朗讀","社會組",4,,"C",64,"閩南語朗讀（社會組）第4名","C區（9排4號）"
216,"閩南語朗讀","社會組",5,,"C",65,"閩南語朗讀（社會組）第5名","C區（9排5號）"
217,"閩南語朗讀","社會組",6,,"C",66,"閩南語朗讀（社會組）第6名","C區（9排6號）"
218,"閩南語朗讀","教大組",1,,"C",67,"閩南語朗讀（教大組）第1名","C區（9排7號）"
219,"閩南語朗讀","教大組",2,,"C",68,"閩南語朗讀（教大組）第2名","C區（9排8號）"
220,"閩南語朗讀","教大組",3,,"C",69,"閩南語朗讀（教大組）第3名","C區（10排1號）"
221,"閩南語朗讀","教大組",4,,"C",70,"閩南語朗讀（教大組）第4名","C區（10排2號）"
222,"閩南語朗讀","教大組",5,,"C",71,"閩南語朗讀（教大組）第5名","C區（10排3號）"
223,"閩南語朗讀","教大組",6,,"C",72,"閩南語朗讀（教大組）第6名","C區（10排4號）"
224,"客家語朗讀","國小學生組",1,,"D",1,"客家語朗讀（國小學生組）第1名","D區（1排1號）"
225,"客家語朗讀","國小學生組",2,,"D",2,"客家語朗讀（國小學生組）第2名","D區（1排2號）"
226,"客家語朗讀","國小學生組",3,,"D",3,"客家語朗讀（國小學生組）第3名","D區（1排3號）"
227,"客家語朗讀","國小學生組",4,,"D",4,"客家語朗讀（國小學生組）第4名","D區（1排4號）"
228,"客家語朗讀","國小學生組",5,,"D",5,"客家語朗讀（國小學生組）第5名","D區（1排5號）"
229,"客家語朗讀","國小學生組",6,,"D",6,"客家語朗讀（國小學生組）第6名","D區（1排6號）"
230,"客家語朗讀","國中學生組",1,,"D",7,"客家語朗讀（國中學生組）第1名","D區（1排7號）"
231,"客家語朗讀","國中學生組",2,,"D",8,"客家語朗讀（國中學生組）第2名","D區（1排8號）"
232,"客家語朗讀","國中學生組",3,,"D",9,"客家語朗讀（國中學生組）第3名","D區（2排1號）"
233,"客家語朗讀","國中學生組",4,,"D",10,"客家語朗讀（國中學生組）第4名","D區（2排2號）"
234,"客家語朗讀","國中學生組",5,,"D",11,"客家語朗讀（國中學生組）第5名","D區（2排3號）"
235,"客家語朗讀","國中學生組",6,,"D",12,"客家語朗讀（國中學生組）第6名","D區（2排4號）"
236,"客家語朗讀","高中學生組",1,,"D",13,"客家語朗讀（高中學生組）第1名","D區（2排5號）"
237,"客家語朗讀","高中學生組",2,,"D",14,"客家語朗讀（高中學生組）第2名","D區（2排6號）"
238,"客家語朗讀","高中學生組",3,,"D",15,"客家語朗讀（高中學生組）第3名","D區（2排7號）"
239,"客家語朗讀","高中學生組",4,,"D",16,"客家語朗讀（高中學生組）第4名","D區（2排8號）"
240,"客家語朗讀","高中學生組",5,,"D",17,"客家語朗讀（高中學生組）第5名","D區（3排1號）"
241,"客家語朗讀","高中學生組",6,,"D",18,"客家語朗讀（高中學生組）第6名","D區（3排2號）"
242,"客家語朗讀","教師組",1,,"D",19,"客家語朗讀（教師組）第1名","D區（3排3號）"
243,"客家語朗讀","教師組",2,,"D",20,"客家語朗讀（教師組）第2名","D區（3排4號）"
244,"客家語朗讀","教師組",3,,"D",21,"客家語朗讀（教師組）第3名","D區（3排5號）"
245,"客家語朗讀","教師組",4,,"D",22,"客家語朗讀（教師組）第4名","D區（3排6號）"
246,"客家語朗讀","教師組",5,,"D",23,"客家語朗讀（教師組）第5名","D區（3排7號）"
247,"客家語朗讀","教師組",6,,"D",24,"客家語朗讀（教師組）第6名","D區（3排8號）"
248,"客家語朗讀","社會組",1,,"D",25,"客家語朗讀（社會組）第1名","D區（4排1號）"
249,"客家語朗讀","社會組",2,,"D",26,"客家語朗讀（社會組）第2名","D區（4排2號）"
250,"客家語朗讀","社會組",3,,"D",27,"客家語朗讀（社會組）第3名","D區（4排3號）"
251,"客家語朗讀","社會組",4,,"D",28,"客家語朗讀（社會組）第4名","D區（4排4號）"
252,"客家語朗讀","社會組",5,,"D",29,"客家語朗讀（社會組）第5名","D區（4排5號）"
253,"客家語朗讀","社會組",6,,"D",30,"客家語朗讀（社會組）第6名","D區（4排6號）"
254,"客家語朗讀","教大組",1,,"D",31,"客家語朗讀（教大組）第1名","D區（4排7號）"
255,"客家語朗讀","教大組",2,,"D",32,"客家語朗讀（教大組）第2名","D區（4排8號）"
256,"客家語朗讀","教大組",3,,"D",33,"客家語朗讀（教大組）第3名","D區（5排1號）"
257,"客家語朗讀","教大組",4,,"D",34,"客家語朗讀（教大組）第4名","D區（5排2號）"
258,"客家語朗讀","教大組",5,,"D",35,"客家語朗讀（教大組）第5名","D區（5排3號）"
259,"客家語朗讀","教大組",6,,"D",36,"客家語朗讀（教大組）第6名","D區（5排4號）"
458,"作文","國小學生組",1,,"D",37,"作文（國小學生組）第1名","D區（6排1號）"
459,"作文","國小學生組",2,,"D",38,"作文（國小學生組）第2名","D區（6排2號）"
460,"作文","國小學生組",3,,"D",39,"作文（國小學生組）第3名","D區（6排3號）"
461,"作文","國小學生組",4,,"D",40,"作文（國小學生組）第4名","D區（6排4號）"
462,"作文","國小學生組",5,,"D",41,"作文（國小學生組）第5名","D區（6排5號）"
463,"作文","國小學生組",6,,"D",42,"作文（國小學生組）第6名","D區（6排6號）"
464,"作文","國中學生組",1,,"D",43,"作文（國中學生組）第1名","D區（6排7號）"
465,"作文","國中學生組",2,,"D",44,"作文（國中學生組）第2名","D區（6排8號）"
466,"作文","國中學生組",3,,"D",45,"作文（國中學生組）第3名","D區（7排1號）"
467,"作文","國中學生組",4,,"D",46,"作文（國中學生組）第4名","D區（7排2號）"
468,"作文","國中學生組",5,,"D",47,"作文（國中學生組）第5名","D區（7排3號）"
469,"作文","國中學生組",6,,"D",48,"作文（國中學生組）第6名","D區（7排4號）"
470,"作文","高中學生組",1,,"D",49,"作文（高中學生組）第1名","D區（7排5號）"
471,"作文","高中學生組",2,,"D",50,"作文（高中學生組）第2名","D區（7排6號）"
472,"作文","高中學生組",3,,"D",51,"作文（高中學生組）第3名","D區（7排7號）"
473,"作文","高中學生組",4,,"D",52,"作文（高中學生組）第4名","D區（7排8號）"
474,"作文","高中學生組",5,,"D",53,"作文（高中學生組）第5名","D區（8排1號）"
475,"作文","高中學生組",6,,"D",54,"作文（高中學生組）第6名","D區（8排2號）"
